video_id,author,comment,like_count,published_at,keyword,video_title,cleaning,case_folding,tokenizing,normalisasi,label
W8gwaB_t9wQ,@adilafrizal2335,"6:55:55
5.9k gold lead with 4.9k gold lead on the jungler only and you casters don't discuss about how close it actually was? c'mon man you guys can do it better 😂",1,2026-03-30T15:11:49Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,k gold lead with k gold lead on the jungler only and you casters dont discuss about how close it actually was cmon man you guys can do it better,k gold lead with k gold lead on the jungler only and you casters dont discuss about how close it actually was cmon man you guys can do it better,"['k', 'gold', 'lead', 'with', 'k', 'gold', 'lead', 'on', 'the', 'jungler', 'only', 'and', 'you', 'casters', 'dont', 'discuss', 'about', 'how', 'close', 'it', 'actually', 'was', 'cmon', 'man', 'you', 'guys', 'can', 'do', 'it', 'better']","['k', 'gold', 'lead', 'with', 'k', 'gold', 'lead', 'on', 'the', 'jungler', 'only', 'and', 'you', 'casters', 'dont', 'discuss', 'about', 'how', 'close', 'it', 'actually', 'was', 'cmon', 'man', 'you', 'guys', 'can', 'do', 'it', 'better']",Non-Toxic
W8gwaB_t9wQ,@JustineriveroDacayan,Go kirie and kelra,0,2026-03-30T10:03:54Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Go kirie and kelra,go kirie and kelra,"['go', 'kirie', 'and', 'kelra']","['go', 'kirie', 'and', 'kelra']",Non-Toxic
W8gwaB_t9wQ,@Kishen-p6s,Aran What a Freya ! wow,0,2026-03-30T09:06:18Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Aran What a Freya wow,aran what a freya wow,"['aran', 'what', 'a', 'freya', 'wow']","['aran', 'what', 'a', 'freya', 'wow']",Non-Toxic
W8gwaB_t9wQ,@shi-t,NAVI is the worst at taking advantage of a gold lead. Bad positioning most of the time.,0,2026-03-30T07:36:47Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,NAVI is the worst at taking advantage of a gold lead Bad positioning most of the time,navi is the worst at taking advantage of a gold lead bad positioning most of the time,"['navi', 'is', 'the', 'worst', 'at', 'taking', 'advantage', 'of', 'a', 'gold', 'lead', 'bad', 'positioning', 'most', 'of', 'the', 'time']","['navi', 'is', 'the', 'worst', 'at', 'taking', 'advantage', 'of', 'a', 'gold', 'lead', 'bad', 'positioning', 'most', 'of', 'the', 'time']",Non-Toxic
W8gwaB_t9wQ,@RedJimanquilo-j1z,Boyset tagal,0,2026-03-29T13:15:29Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Boyset tagal,boyset tagal,"['boyset', 'tagal']","['boyset', 'tagal']",Non-Toxic
W8gwaB_t9wQ,@ZeeLenaMontage,KAWAY KAWAY SA MGA ANDITO PARA SUPORTAHAN SI KELRA 🔥,5,2026-03-29T09:18:41Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,KAWAY KAWAY SA MGA ANDITO PARA SUPORTAHAN SI KELRA,kaway kaway sa mga andito para suportahan si kelra,"['kaway', 'kaway', 'sa', 'mga', 'andito', 'para', 'suportahan', 'si', 'kelra']","['kaway', 'kaway', 'sa', 'mga', 'andito', 'para', 'suportahan', 'si', 'kelra']",Non-Toxic
W8gwaB_t9wQ,@Reggage,"Man, NAVI PLAYERS DECISION MAKING IS THE WORST 3X DOMINATING THE GAME THEN SUDDENLY THEY COLLAPSE AND LOSING THE GAME.THEY CHOKED SO HARD EVERYTIME.",3,2026-03-29T07:12:23Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Man NAVI PLAYERS DECISION MAKING IS THE WORST X DOMINATING THE GAME THEN SUDDENLY THEY COLLAPSE AND LOSING THE GAMETHEY CHOKED SO HARD EVERYTIME,man navi players decision making is the worst x dominating the game then suddenly they collapse and losing the gamethey choked so hard everytime,"['man', 'navi', 'players', 'decision', 'making', 'is', 'the', 'worst', 'x', 'dominating', 'the', 'game', 'then', 'suddenly', 'they', 'collapse', 'and', 'losing', 'the', 'gamethey', 'choked', 'so', 'hard', 'everytime']","['man', 'navi', 'players', 'decision', 'making', 'is', 'the', 'worst', 'x', 'dominating', 'the', 'game', 'then', 'suddenly', 'they', 'collapse', 'and', 'losing', 'the', 'gamethey', 'choked', 'so', 'hard', 'everytime']",Non-Toxic
W8gwaB_t9wQ,@veLL김다현,jir coach aldo nge cast english,0,2026-03-29T05:12:48Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,jir coach aldo nge cast english,jir coach aldo nge cast english,"['jir', 'coach', 'aldo', 'nge', 'cast', 'english']","['jir', 'coach', 'aldo', 'nge', 'cast', 'english']",Non-Toxic
W8gwaB_t9wQ,@jessafranco-b9g,Nice maayos na kausap sa interview ang kelra namin 😊,1,2026-03-29T04:54:47Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Nice maayos na kausap sa interview ang kelra namin,nice maayos na kausap sa interview ang kelra namin,"['nice', 'maayos', 'na', 'kausap', 'sa', 'interview', 'ang', 'kelra', 'namin']","['nice', 'maayos', 'na', 'kausap', 'sa', 'interview', 'ang', 'kelra', 'namin']",Non-Toxic
W8gwaB_t9wQ,@mgmantai1714,"id 77897359 My mobile legends account is being stolen by a guy from rangsang barat, Indonesia.",0,2026-03-29T04:41:23Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,id My mobile legends account is being stolen by a guy from rangsang barat Indonesia,id my mobile legends account is being stolen by a guy from rangsang barat indonesia,"['id', 'my', 'mobile', 'legends', 'account', 'is', 'being', 'stolen', 'by', 'a', 'guy', 'from', 'rangsang', 'barat', 'indonesia']","['id', 'my', 'mobile', 'legends', 'account', 'is', 'being', 'stolen', 'by', 'a', 'guy', 'from', 'rangsang', 'barat', 'indonesia']",Non-Toxic
W8gwaB_t9wQ,@Chlydomonas,This also guy can't even speak english properly 🤣,1,2026-03-29T04:37:59Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,This also guy cant even speak english properly,this also guy cant even speak english properly,"['this', 'also', 'guy', 'cant', 'even', 'speak', 'english', 'properly']","['this', 'also', 'guy', 'cant', 'even', 'speak', 'english', 'properly']",Non-Toxic
W8gwaB_t9wQ,@mrpink7937,Xyve still got the btr in him😂😂😂,0,2026-03-29T03:50:09Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Xyve still got the btr in him,xyve still got the btr in him,"['xyve', 'still', 'got', 'the', 'btr', 'in', 'him']","['xyve', 'still', 'got', 'the', 'btr', 'in', 'him']",Non-Toxic
W8gwaB_t9wQ,@Naruto-n9b9i,Translation for Filipino fans❤❤❤❤,0,2026-03-29T03:32:39Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Translation for Filipino fans,translation for filipino fans,"['translation', 'for', 'filipino', 'fans']","['translation', 'for', 'filipino', 'fans']",Non-Toxic
W8gwaB_t9wQ,@NovalMd,thnk you,0,2026-03-29T02:07:54Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,thnk you,thnk you,"['thnk', 'you']","['thnk', 'you']",Non-Toxic
W8gwaB_t9wQ,@OjijErdezap-tl7oz,kung binalagbag lang ang AE paano pa kaya ang ibang team haha,0,2026-03-29T01:05:35Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,kung binalagbag lang ang AE paano pa kaya ang ibang team haha,kung binalagbag lang ang ae paano pa kaya ang ibang team haha,"['kung', 'binalagbag', 'lang', 'ang', 'ae', 'paano', 'pa', 'kaya', 'ang', 'ibang', 'team', 'haha']","['kung', 'binalagbag', 'lang', 'ang', 'ae', 'paano', 'pa', 'kaya', 'ang', 'ibang', 'team', 'haha']",Non-Toxic
W8gwaB_t9wQ,@gillianml4977,"Bro, fire replace these casters with Arashi and Aterna.",0,2026-03-29T00:08:21Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Bro fire replace these casters with Arashi and Aterna,bro fire replace these casters with arashi and aterna,"['bro', 'fire', 'replace', 'these', 'casters', 'with', 'arashi', 'and', 'aterna']","['bro', 'fire', 'replace', 'these', 'casters', 'with', 'arashi', 'and', 'aterna']",Non-Toxic
W8gwaB_t9wQ,@cellopain4669,"Kelra just got the good vibes bro. Always smiling, and it’s hard to hate this guy even if you’re his opponent.",32,2026-03-29T00:06:34Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Kelra just got the good vibes bro Always smiling and its hard to hate this guy even if youre his opponent,kelra just got the good vibes bro always smiling and its hard to hate this guy even if youre his opponent,"['kelra', 'just', 'got', 'the', 'good', 'vibes', 'bro', 'always', 'smiling', 'and', 'its', 'hard', 'to', 'hate', 'this', 'guy', 'even', 'if', 'youre', 'his', 'opponent']","['kelra', 'just', 'got', 'the', 'good', 'vibes', 'bro', 'always', 'smiling', 'and', 'its', 'hard', 'to', 'hate', 'this', 'guy', 'even', 'if', 'youre', 'his', 'opponent']",Non-Toxic
W8gwaB_t9wQ,@Looopee981,"At this point, just watch indonesian casters even if you don't understand them😂",0,2026-03-29T00:04:37Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,At this point just watch indonesian casters even if you dont understand them,at this point just watch indonesian casters even if you dont understand them,"['at', 'this', 'point', 'just', 'watch', 'indonesian', 'casters', 'even', 'if', 'you', 'dont', 'understand', 'them']","['at', 'this', 'point', 'just', 'watch', 'indonesian', 'casters', 'even', 'if', 'you', 'dont', 'understand', 'them']",Non-Toxic
W8gwaB_t9wQ,@liztan5417,Watching MPL ID for the first time because of Kelra hahaha 🎉,77,2026-03-28T22:56:07Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Watching MPL ID for the first time because of Kelra hahaha,watching mpl id for the first time because of kelra hahaha,"['watching', 'mpl', 'id', 'for', 'the', 'first', 'time', 'because', 'of', 'kelra', 'hahaha']","['watching', 'mpl', 'id', 'for', 'the', 'first', 'time', 'because', 'of', 'kelra', 'hahaha']",Non-Toxic
W8gwaB_t9wQ,@arifinislam2621,"wtf,,  kelra why is he in Indonesia??  I Don't think any gold laner in ID could keep up against him",1,2026-03-28T22:40:38Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,wtf kelra why is he in Indonesia I Dont think any gold laner in ID could keep up against him,wtf kelra why is he in indonesia i dont think any gold laner in id could keep up against him,"['wtf', 'kelra', 'why', 'is', 'he', 'in', 'indonesia', 'i', 'dont', 'think', 'any', 'gold', 'laner', 'in', 'id', 'could', 'keep', 'up', 'against', 'him']","['wtf', 'kelra', 'why', 'is', 'he', 'in', 'indonesia', 'i', 'dont', 'think', 'any', 'gold', 'laner', 'in', 'id', 'could', 'keep', 'up', 'against', 'him']",Non-Toxic
W8gwaB_t9wQ,@naivelle,It could have been sweep for navi,0,2026-03-28T22:26:42Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,It could have been sweep for navi,it could have been sweep for navi,"['it', 'could', 'have', 'been', 'sweep', 'for', 'navi']","['it', 'could', 'have', 'been', 'sweep', 'for', 'navi']",Non-Toxic
W8gwaB_t9wQ,@eamoon-zq4hz,Kelra and 4 dogs,0,2026-03-28T20:57:03Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Kelra and dogs,kelra and dogs,"['kelra', 'and', 'dogs']","['kelra', 'and', 'dogs']",Non-Toxic
W8gwaB_t9wQ,@febmarsescon,Mirko thank you very much for translation ❤ I really wanted to watch kelra doin interview 😂😂,13,2026-03-28T19:58:25Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Mirko thank you very much for translation I really wanted to watch kelra doin interview,mirko thank you very much for translation i really wanted to watch kelra doin interview,"['mirko', 'thank', 'you', 'very', 'much', 'for', 'translation', 'i', 'really', 'wanted', 'to', 'watch', 'kelra', 'doin', 'interview']","['mirko', 'thank', 'you', 'very', 'much', 'for', 'translation', 'i', 'really', 'wanted', 'to', 'watch', 'kelra', 'doin', 'interview']",Non-Toxic
W8gwaB_t9wQ,@Skabadoosh507,"This Onic is strong, could win M8",7,2026-03-28T19:55:55Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,This Onic is strong could win M,this onic is strong could win m,"['this', 'onic', 'is', 'strong', 'could', 'win', 'm']","['this', 'onic', 'is', 'strong', 'could', 'win', 'm']",Non-Toxic
W8gwaB_t9wQ,@thangminlunthangminlun-zd6pj,"Its hard to watch the game man ,no offense but better change the caster its hard to even watch the game",8,2026-03-28T19:38:21Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Its hard to watch the game man no offense but better change the caster its hard to even watch the game,its hard to watch the game man no offense but better change the caster its hard to even watch the game,"['its', 'hard', 'to', 'watch', 'the', 'game', 'man', 'no', 'offense', 'but', 'better', 'change', 'the', 'caster', 'its', 'hard', 'to', 'even', 'watch', 'the', 'game']","['its', 'hard', 'to', 'watch', 'the', 'game', 'man', 'no', 'offense', 'but', 'better', 'change', 'the', 'caster', 'its', 'hard', 'to', 'even', 'watch', 'the', 'game']",Non-Toxic
W8gwaB_t9wQ,@recehgaming803,Andoryou longorrr,0,2026-03-28T18:40:56Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Andoryou longorrr,andoryou longorrr,"['andoryou', 'longorrr']","['andoryou', 'longorrr']",Non-Toxic
W8gwaB_t9wQ,@roysampurna-8,3:45:23 Gold standard for a reason man 🫡🫡,3,2026-03-28T18:33:17Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Gold standard for a reason man,gold standard for a reason man,"['gold', 'standard', 'for', 'a', 'reason', 'man']","['gold', 'standard', 'for', 'a', 'reason', 'man']",Non-Toxic
W8gwaB_t9wQ,@S-Z-g2w,"4:31:20 who let this guy cast😂. Bro and they call him coach too, he better stick to his ranked games",2,2026-03-28T17:59:53Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,who let this guy cast Bro and they call him coach too he better stick to his ranked games,who let this guy cast bro and they call him coach too he better stick to his ranked games,"['who', 'let', 'this', 'guy', 'cast', 'bro', 'and', 'they', 'call', 'him', 'coach', 'too', 'he', 'better', 'stick', 'to', 'his', 'ranked', 'games']","['who', 'let', 'this', 'guy', 'cast', 'bro', 'and', 'they', 'call', 'him', 'coach', 'too', 'he', 'better', 'stick', 'to', 'his', 'ranked', 'games']",Non-Toxic
W8gwaB_t9wQ,@zenzi_yt,Thank you Mirko for making this watchable ❤,28,2026-03-28T17:38:00Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Thank you Mirko for making this watchable,thank you mirko for making this watchable,"['thank', 'you', 'mirko', 'for', 'making', 'this', 'watchable']","['thank', 'you', 'mirko', 'for', 'making', 'this', 'watchable']",Non-Toxic
W8gwaB_t9wQ,@mr_c-c24,Gold standard for a reason,12,2026-03-28T17:17:33Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Gold standard for a reason,gold standard for a reason,"['gold', 'standard', 'for', 'a', 'reason']","['gold', 'standard', 'for', 'a', 'reason']",Non-Toxic
W8gwaB_t9wQ,@LetsGooo5000,Today Mirko is the MVP of the tournament for carrying the English castings.Sorry to say but Aldo and Realize please improve next time too much stuttering and low ingame knowledge about the meta and players.Hope the production don’t pair them together so they can improve more,39,2026-03-28T16:44:40Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Today Mirko is the MVP of the tournament for carrying the English castingsSorry to say but Aldo and Realize please improve next time too much stuttering and low ingame knowledge about the meta and playersHope the production dont pair them together so they can improve more,today mirko is the mvp of the tournament for carrying the english castingssorry to say but aldo and realize please improve next time too much stuttering and low ingame knowledge about the meta and playershope the production dont pair them together so they can improve more,"['today', 'mirko', 'is', 'the', 'mvp', 'of', 'the', 'tournament', 'for', 'carrying', 'the', 'english', 'castingssorry', 'to', 'say', 'but', 'aldo', 'and', 'realize', 'please', 'improve', 'next', 'time', 'too', 'much', 'stuttering', 'and', 'low', 'ingame', 'knowledge', 'about', 'the', 'meta', 'and', 'playershope', 'the', 'production', 'dont', 'pair', 'them', 'together', 'so', 'they', 'can', 'improve', 'more']","['today', 'mirko', 'is', 'the', 'mvp', 'of', 'the', 'tournament', 'for', 'carrying', 'the', 'english', 'castingssorry', 'to', 'say', 'but', 'aldo', 'and', 'realize', 'please', 'improve', 'next', 'time', 'too', 'much', 'stuttering', 'and', 'low', 'ingame', 'knowledge', 'about', 'the', 'meta', 'and', 'playershope', 'the', 'production', 'dont', 'pair', 'them', 'together', 'so', 'they', 'can', 'improve', 'more']",Non-Toxic
W8gwaB_t9wQ,@xeniwkyohei2034,mahihirapan nga si kelra sa interview nya sa pilipinas haha,1,2026-03-28T16:33:54Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,mahihirapan nga si kelra sa interview nya sa pilipinas haha,mahihirapan nga si kelra sa interview nya sa pilipinas haha,"['mahihirapan', 'nga', 'si', 'kelra', 'sa', 'interview', 'nya', 'sa', 'pilipinas', 'haha']","['mahihirapan', 'nga', 'si', 'kelra', 'sa', 'interview', 'nya', 'sa', 'pilipinas', 'haha']",Non-Toxic
W8gwaB_t9wQ,@tagapaksiw,Yay,1,2026-03-28T16:22:55Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Yay,yay,['yay'],['yay'],Non-Toxic
S-Kj8-VM-L0,@beginning252,"From all 4 team Today Navi played very well 
Not typical like i have seen in MPL ID they played like PH patiently and Decision based",3,2026-03-27T18:49:19Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 1 Week 1 | English,From all team Today Navi played very well Not typical like i have seen in MPL ID they played like PH patiently and Decision based,from all team today navi played very well not typical like i have seen in mpl id they played like ph patiently and decision based,"['from', 'all', 'team', 'today', 'navi', 'played', 'very', 'well', 'not', 'typical', 'like', 'i', 'have', 'seen', 'in', 'mpl', 'id', 'they', 'played', 'like', 'ph', 'patiently', 'and', 'decision', 'based']","['from', 'all', 'team', 'today', 'navi', 'played', 'very', 'well', 'not', 'typical', 'like', 'i', 'have', 'seen', 'in', 'mpl', 'id', 'they', 'played', 'like', 'ph', 'patiently', 'and', 'decision', 'based']",Non-Toxic
S-Kj8-VM-L0,@Eldenmofo1,How did Harley jgl become popular/meta? Did he or one of his core items get buffed?,5,2026-03-27T14:21:40Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 1 Week 1 | English,How did Harley jgl become popularmeta Did he or one of his core items get buffed,how did harley jgl become popularmeta did he or one of his core items get buffed,"['how', 'did', 'harley', 'jgl', 'become', 'popularmeta', 'did', 'he', 'or', 'one', 'of', 'his', 'core', 'items', 'get', 'buffed']","['how', 'did', 'harley', 'jgl', 'become', 'popularmeta', 'did', 'he', 'or', 'one', 'of', 'his', 'core', 'items', 'get', 'buffed']",Non-Toxic
S-Kj8-VM-L0,@Eldenmofo1,Yss Gold lane better than Yss jgl now?,6,2026-03-27T13:26:43Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 1 Week 1 | English,Yss Gold lane better than Yss jgl now,yss gold lane better than yss jgl now,"['yss', 'gold', 'lane', 'better', 'than', 'yss', 'jgl', 'now']","['yss', 'gold', 'lane', 'better', 'than', 'yss', 'jgl', 'now']",Non-Toxic
KVQYD7p7TMQ,@Bugoy_ADHD,"Alekk in the roam is a problem, for his team. 😅",0,2026-04-08T14:00:21Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Alekk in the roam is a problem for his team,alekk in the roam is a problem for his team,"['alekk', 'in', 'the', 'roam', 'is', 'a', 'problem', 'for', 'his', 'team']","['alekk', 'in', 'the', 'roam', 'is', 'a', 'problem', 'for', 'his', 'team']",Non-Toxic
KVQYD7p7TMQ,@Bugoy_ADHD,"""lore accurate sora..."" 3:51:01

Wtf kinda lore are you consuming bruh?
Enough fanfic for you!",0,2026-04-07T23:44:21Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,lore accurate sora Wtf kinda lore are you consuming bruh Enough fanfic for you,lore accurate sora wtf kinda lore are you consuming bruh enough fanfic for you,"['lore', 'accurate', 'sora', 'wtf', 'kinda', 'lore', 'are', 'you', 'consuming', 'bruh', 'enough', 'fanfic', 'for', 'you']","['lore', 'accurate', 'sora', 'wtf', 'kinda', 'lore', 'are', 'you', 'consuming', 'bruh', 'enough', 'fanfic', 'for', 'you']",Non-Toxic
KVQYD7p7TMQ,@tsangma4948,Such a abrasive play,0,2026-04-02T18:42:18Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Such a abrasive play,such a abrasive play,"['such', 'a', 'abrasive', 'play']","['such', 'a', 'abrasive', 'play']",Non-Toxic
KVQYD7p7TMQ,@riasgremory3320,Double k dream tag team connection,0,2026-03-30T08:30:12Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,Double k dream tag team connection,double k dream tag team connection,"['double', 'k', 'dream', 'tag', 'team', 'connection']","['double', 'k', 'dream', 'tag', 'team', 'connection']",Non-Toxic
KVQYD7p7TMQ,@glorytahj,4:35:50 why tf are u showing handcam at lord🫩,0,2026-03-30T07:37:38Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,why tf are u showing handcam at lord,why tf are u showing handcam at lord,"['why', 'tf', 'are', 'u', 'showing', 'handcam', 'at', 'lord']","['why', 'tf', 'are', 'u', 'showing', 'handcam', 'at', 'lord']",Non-Toxic
KVQYD7p7TMQ,@xnotz,navi is lyk… pro ball dropper 🤷‍♀️,0,2026-03-29T22:50:12Z,MPL Indonesia Season 17,🔴 LIVE | MPL ID S17 | Regular Season Day 2 Week 1 | English,navi is lyk pro ball dropper,navi is lyk pro ball dropper,"['navi', 'is', 'lyk', 'pro', 'ball', 'dropper']","['navi', 'is', 'lyk', 'pro', 'ball', 'dropper']",Non-Toxic
